GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Aug 03 22:41:43 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.pulm_C_PA	settings.heart_vntr_xi_AmRef	settings.syst_TPR	settings.syst_TR_frac	settings.heart_vntr_D_A	settings.syst_art_k_E	settings.V_PV_init	settings.chi_phi	settings.heart_R_vlv	settings.heart_R_LA	settings.tissues_chi_Ra	settings.tissues_chi_Rv
348	17	1	4.4829026088630215	2.0448358E-11	0.809375	4.54991232E8	6.491346	1587.86	1.2370255	8.49999E-5	0.251875	5431.751	2060557.6	11.4375	2.46875	Global search reduced cost.
364	18	1	4.482455390217326	2.0448358E-11	0.809375	4.5515216E8	6.4978805	1586.2368	1.2364751	8.62499E-5	0.251875	5431.751	2062626.4	11.4375	2.46875	Local search reduced cost.
379	19	1	4.4822462840171005	2.0448358E-11	0.809375	4.55474016E8	6.5109496	1584.6136	1.2364751	8.62499E-5	0.251875	5431.751	2064695.2	11.4375	2.46875	Global search reduced cost.
397	20	1	4.48205623398145	2.0448358E-11	0.809375	4.559568E8	6.530554	1584.6135	1.2370255	8.49999E-5	0.251875	5431.751	2066764.0	11.4375	2.46875	Global search reduced cost.
424	21	1	4.4818907290291365	2.0448358E-11	0.809375	4.56439584E8	6.5501585	1584.6134	1.2381263	8.37499E-5	0.251875	5431.751	2066764.0	11.5625	2.46875	Global search reduced cost.
443	22	1	4.480342256482507	2.0448358E-11	0.810625	4.57083296E8	6.563228	1586.2365	1.2386767	8.37499E-5	0.253125	5431.751	2066764.0	11.5625	2.46875	Global search reduced cost.
462	23	1	4.479819642589793	2.0448358E-11	0.810625	4.5756608E8	6.5697627	1587.8596	1.2386767	8.24999E-5	0.253125	5431.751	2064695.1	11.6875	2.46875	Global search reduced cost.
481	24	1	4.478062923724548	2.0448358E-11	0.810625	4.58209792E8	6.5697627	1591.1058	1.2381263	8.24999E-5	0.254375	5431.751	2062626.2	11.6875	2.46875	Global search reduced cost.
499	25	1	4.477371495582118	2.0448358E-11	0.810625	4.58853504E8	6.5697627	1592.7289	1.2370255	8.12499E-5	0.254375	5431.751	2058488.4	11.6875	2.46875	Global search reduced cost.
519	26	1	4.476307845068334	2.0448358E-11	0.810625	4.59336288E8	6.5762973	1592.7289	1.2353743	8.12499E-5	0.253125	5431.751	2052281.8	11.8125	2.46875	Global search reduced cost.
549	27	1	4.474916568140457	2.0448358E-11	0.810625	4.59497216E8	6.5697627	1592.7289	1.234824	8.24999E-5	0.254375	5431.751	2052281.8	11.8125	2.46875	Local search reduced cost.
570	28	1	4.473851426584366	2.0448358E-11	0.810625	4.59819072E8	6.5566936	1591.1057	1.2337233	8.37499E-5	0.254375	5431.751	2050213.0	11.8125	2.46875	Global search reduced cost.
578	29	1	4.473192027975072	2.0448358E-11	0.810625	4.60301856E8	6.5436244	1589.4825	1.2326226	8.49999E-5	0.254375	5431.751	2048144.2	11.8125	2.46875	Global search reduced cost.
611	30	1	4.472863875074109	2.0448358E-11	0.809375	4.60945568E8	6.53709	1586.2361	1.2320721	8.49999E-5	0.254375	5431.751	2048144.2	11.8125	2.46875	Global search reduced cost.
633	31	1	4.472304500278933	2.0448358E-11	0.809375	4.6158928E8	6.5370903	1584.6129	1.232072	8.49999E-5	0.254375	5431.751	2048144.2	11.9375	2.46875	Global search reduced cost.
651	32	1	4.470592991093162	2.0448358E-11	0.810625	4.6239392E8	6.530556	1584.6129	1.2315215	8.62499E-5	0.254375	5431.751	2050213.0	11.9375	2.46875	Global search reduced cost.
671	33	1	4.469264649984487	2.0448358E-11	0.810625	4.63037632E8	6.517487	1584.6129	1.230971	8.62499E-5	0.254375	5431.751	2054350.6	12.0625	2.46875	Global search reduced cost.
689	34	1	4.46822351022438	2.0448358E-11	0.810625	4.63842272E8	6.5109525	1586.2361	1.2298701	8.74999E-5	0.255625	5431.751	2056419.4	12.1875	2.46875	Global search reduced cost.
708	35	1	4.466400586767106	2.0448358E-11	0.810625	4.6480784E8	6.4978833	1589.4824	1.2282188	8.99999E-5	0.255625	6397.1904	2056419.4	12.1875	2.46875	Global search reduced cost.
745	36	1	4.465802156639358	2.0448358E-11	0.810625	4.64968768E8	6.504418	1589.4824	1.2287692	8.87499E-5	0.255625	5431.751	2056419.4	12.1875	2.46875	Local search reduced cost.
751	37	1	4.46551190060394	2.0448358E-11	0.810625	4.65129696E8	6.5109525	1589.4824	1.2293196	8.74999E-5	0.255625	5431.751	2056419.4	12.1875	2.46875	Global search reduced cost.
771	38	1	4.465200522145574	2.0448358E-11	0.810625	4.65451552E8	6.5240216	1587.8593	1.2293196	8.62499E-5	0.255625	5431.751	2054350.6	12.1875	2.46875	Global search reduced cost.
791	39	1	4.46486944797903	2.0448358E-11	0.810625	4.65934336E8	6.543626	1587.8594	1.2293196	8.49999E-5	0.255625	5431.751	2054350.6	12.1875	2.46875	Global search reduced cost.
805	40	1	4.46470693475474	2.0448358E-11	0.810625	4.6641712E8	6.569765	1587.8595	1.22987	8.37499E-5	0.255625	5431.751	2054350.6	12.1875	2.46875	Global search reduced cost.
805	41	1	4.46470693475474	2.0448358E-11	0.810625	4.6641712E8	6.569765	1587.8595	1.22987	8.37499E-5	0.255625	5431.751	2054350.6	12.1875	2.46875	Iteration step did not reduce cost. Reduce step size to '0.0625'.
861	42	1	4.464113090449254	1.0228427E-11	0.81	4.66497568E8	6.5730324	1587.8595	1.22987	8.37499E-5	0.255	5431.751	2053316.1	12.1875	2.46875	Global search reduced cost.
876	43	1	4.463931348958095	1.02284275E-11	0.81	4.66658464E8	6.579567	1587.048	1.2301452	8.43749E-5	0.255	5431.751	2052281.6	12.1875	2.46875	Global search reduced cost.
900	44	1	4.463741782074001	1.0228428E-11	0.81	4.66899808E8	6.5828342	1586.2365	1.2306956	8.43749E-5	0.255	5431.751	2052281.5	12.25	2.46875	Global search reduced cost.
917	45	1	4.463575481559199	1.0228428E-11	0.810625	4.672216E8	6.5828342	1586.2366	1.231246	8.49999E-5	0.255625	5431.751	2053315.9	12.25	2.46875	Global search reduced cost.
934	46	1	4.462907762993148	1.0228428E-11	0.810625	4.6762384E8	6.579567	1587.0483	1.2320716	8.49999E-5	0.255625	5431.751	2055384.6	12.3125	2.46875	Global search reduced cost.
952	47	1	4.462351792481789	1.0228428E-11	0.810625	4.68106528E8	6.5730324	1588.6716	1.232622	8.56249E-5	0.255625	5431.751	2058487.6	12.3125	2.46875	Global search reduced cost.
969	48	1	4.461342405247471	1.0228428E-11	0.81	4.68669664E8	6.5632305	1589.4833	1.2328972	8.56249E-5	0.255625	5431.751	2062625.0	12.375	2.46875	Global search reduced cost.
984	49	1	4.460542033340682	1.0228428E-11	0.81	4.69313248E8	6.5501614	1589.4834	1.2328972	8.62499E-5	0.25625	5431.751	2067796.9	12.4375	2.46875	Global search reduced cost.
1001	50	1	4.459583685670173	1.0228428E-11	0.81	4.7003728E8	6.537092	1588.6719	1.232622	8.74999E-5	0.25625	5431.751	2074003.2	12.5	2.46875	Global search reduced cost.
1019	51	1	4.458536551231089	1.0228428E-11	0.81	4.7084176E8	6.5207553	1587.8604	1.2320716	8.93749E-5	0.25625	5431.751	2079175.1	12.5625	2.46875	Global search reduced cost.
1029	52	1	4.457353051229517	1.0228428E-11	0.81	4.71726688E8	6.501151	1586.2374	1.2315212	9.12499E-5	0.25625	5431.751	2084347.0	12.625	2.46875	Global search reduced cost.
1057	53	1	4.456691908411056	1.0228428E-11	0.81	4.72692064E8	6.4782796	1583.8029	1.2309709	9.24999E-5	0.25625	5431.751	2090553.4	12.6875	2.46875	Global search reduced cost.
1076	54	1	4.456074291251439	1.0228428E-11	0.81	4.73737888E8	6.4586754	1582.1799	1.2301455	9.31249E-5	0.256875	5431.751	2095725.4	12.75	2.46875	Global search reduced cost.
1090	55	1	4.455313765963365	1.0228428E-11	0.809375	4.7486416E8	6.4423385	1581.3685	1.2290448	9.31249E-5	0.256875	5431.751	2100897.5	12.8125	2.46875	Global search reduced cost.
1106	56	1	4.4547161736229315	1.0228428E-11	0.809375	4.7607088E8	6.429269	1581.3687	1.2282193	9.24999E-5	0.256875	5431.751	2106069.5	12.875	2.46875	Global search reduced cost.
1130	57	1	4.454188540538389	1.0228428E-11	0.809375	4.77358048E8	6.419467	1581.3689	1.2276689	9.24999E-5	0.256875	5431.751	2110207.0	13.0	2.46875	Global search reduced cost.
1141	58	1	4.452612510139656	1.0228428E-11	0.81	4.78725664E8	6.4129324	1582.1807	1.2273936	9.31249E-5	0.2575	5431.751	2114344.5	13.125	2.46875	Global search reduced cost.
1162	59	1	4.451531677476236	1.0228428E-11	0.81	4.80173728E8	6.409665	1582.9926	1.2271183	9.43749E-5	0.258125	5431.751	2117447.5	13.25	2.46875	Global search reduced cost.
1180	60	1	4.450468015830622	1.0228428E-11	0.81	4.8170224E8	6.409665	1584.616	1.2265679	9.56249E-5	0.25875	5431.751	2119516.0	13.375	2.46875	Global search reduced cost.
1199	61	1	4.449336173830072	1.0228428E-11	0.81	4.833112E8	6.4129324	1585.4279	1.2260175	9.62499E-5	0.25875	5431.751	2120550.0	13.5	2.46875	Global search reduced cost.
1218	62	1	4.447911712721065	1.0228428E-11	0.81	4.85000608E8	6.419467	1585.4281	1.225192	9.62499E-5	0.259375	5431.751	2120549.5	13.5625	2.5	Global search reduced cost.
1232	63	1	4.446149514019055	1.0228428E-11	0.81	4.86770464E8	6.429269	1584.6167	1.2240913	9.56249E-5	0.26	5431.751	2119514.5	13.5625	2.53125	Global search reduced cost.
1248	64	1	4.444694569200042	1.0228428E-11	0.809375	4.88459872E8	6.4423385	1582.9938	1.2232658	9.43749E-5	0.26	5431.751	2117445.0	13.5625	2.5625	Global search reduced cost.
1268	65	1	4.442816898098024	1.0228428E-11	0.809375	4.90068832E8	6.4586754	1580.5592	1.2227154	9.31249E-5	0.260625	5431.751	2114341.0	13.625	2.59375	Global search reduced cost.
1281	66	1	4.441284279101516	1.0228428E-11	0.81	4.9175824E8	6.4782796	1578.9362	1.2224402	9.24999E-5	0.26125	5431.751	2111237.0	13.6875	2.625	Global search reduced cost.
1309	67	1	4.439886127149988	1.0228428E-11	0.81	4.93528096E8	6.501151	1578.1248	1.2218899	9.18749E-5	0.261875	5431.751	2107098.5	13.75	2.625	Global search reduced cost.
1329	68	1	4.438154898076267	1.0228428E-11	0.809375	4.95297952E8	6.5240226	1577.3134	1.2213396	9.06249E-5	0.261875	5431.751	2102960.0	13.875	2.59375	Global search reduced cost.
1346	69	1	4.436621157760221	1.0228428E-11	0.809375	4.9698736E8	6.5501614	1577.3136	1.2210644	8.99999E-5	0.261875	5431.751	2097787.0	14.0625	2.5625	Global search reduced cost.
1356	70	1	4.435244596997798	1.0228428E-11	0.81	4.98757216E8	6.5795674	1578.1254	1.2210643	8.93749E-5	0.261875	5431.751	2092614.0	14.25	2.53125	Global search reduced cost.
1382	71	1	4.434206803333283	1.0228428E-11	0.81	5.0060752E8	6.6089735	1579.7489	1.2213393	8.87499E-5	0.261875	5431.751	2086406.6	14.4375	2.5	Global search reduced cost.
1400	72	1	4.433354387548229	1.0228428E-11	0.81	5.02538272E8	6.6351123	1581.3724	1.2218894	8.81249E-5	0.2625	5431.751	2080199.2	14.625	2.46875	Global search reduced cost.
1400	73	1	4.433354387548229	1.0228428E-11	0.81	5.02538272E8	6.6351123	1581.3724	1.2218894	8.81249E-5	0.2625	5431.751	2080199.2	14.625	2.46875	Iteration step did not reduce cost. Reduce step size to '0.03125'.
1400	74	1	4.433354387548229	1.0228428E-11	0.81	5.02538272E8	6.6351123	1581.3724	1.2218894	8.81249E-5	0.2625	5431.751	2080199.2	14.625	2.46875	Iteration step did not reduce cost. Reduce step size to '0.015625'.
1400	75	1	4.433354387548229	1.0228428E-11	0.81	5.02538272E8	6.6351123	1581.3724	1.2218894	8.81249E-5	0.2625	5431.751	2080199.2	14.625	2.46875	Iteration step did not reduce cost. Maximum number of step reductions reached.
1400	75	1	4.433354387548229	1.0228428E-11	0.81	5.02538272E8	6.6351123	1581.3724	1.2218894	8.81249E-5	0.2625	5431.751	2080199.2	14.625	2.46875	Minimum point.
