GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Fri Dec 10 14:38:22 CET 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.V_PV_init	settings.heart_R_LA	settings.heart_R_vlv	settings.heart_vntr_D_0	settings.heart_vntr_D_A	settings.heart_vntr_TS	settings.heart_vntr_TR	settings.heart_atr_D_0	settings.heart_atr_D_A	heartComponent.aorticValve._Ron	settings.syst_TPR	settings.syst_TR_frac	settings.pulm_C_PA	settings.pulm_R	settings.syst_art_k_E
267	11	1	0.21746925798130762	0.0	1508438.0	972271.5	6.95	790.0	0.2446875	0.403125	2.8481368E7	8.228724E7	1097188.6	1.24886912E8	4.8990088	2.735189E-8	9181634.0	0.4502957	Global search reduced cost.
288	12	1	0.21077376951985874	0.0	1455118.0	988931.5	7.15	790.0	0.2446875	0.403125	2.9043576E7	8.2839392E7	1157188.6	1.24886912E8	4.8990088	2.735189E-8	9072788.0	0.4502957	Global search reduced cost.
323	13	1	0.20601211346863357	0.0	1388468.0	1005591.5	7.45	790.0	0.2446875	0.403125	2.9465232E7	8.3943696E7	1227188.6	1.24886912E8	4.8990088	2.735189E-8	9000224.0	0.4502957	Global search reduced cost.
348	14	1	0.2015740834893478	0.0	1321818.0	1005591.5	7.85	790.0	0.2446875	0.403125	2.9886888E7	8.5048E7	1307188.6	1.23604784E8	4.8990088	2.635189E-8	8927660.0	0.4502957	Global search reduced cost.
377	15	1	0.1977129925769432	0.0	1255168.0	1005591.5	8.15	790.0	0.2446875	0.403125	3.0449096E7	8.6704456E7	1397188.6	1.23604784E8	4.8520513	2.635189E-8	8891378.0	0.4502957	Global search reduced cost.
404	16	1	0.19505372324799966	0.0	1188518.0	1005591.5	8.45	790.0	0.2446875	0.403125	3.0870752E7	8.8360912E7	1497188.6	1.23604784E8	4.7581363	2.535189E-8	8855096.0	0.4502957	Global search reduced cost.
433	17	1	0.1921344815982943	0.0	1121868.0	988931.5	8.85	790.0	0.2446875	0.403125	3.1151856E7	9.0017368E7	1607188.6	1.23604784E8	4.617264	2.435189E-8	8782532.0	0.4502957	Global search reduced cost.
459	18	1	0.18538446192210248	0.0	1041888.0	972271.5	9.25	790.0	0.2446875	0.403125	3.1292408E7	9.1121672E7	1727188.6	1.24886912E8	4.4294343	2.435189E-8	8746250.0	0.4502957	Global search reduced cost.
485	19	1	0.16345364911343668	0.0	948578.0	938951.5	9.75	790.0	0.2546875	0.393125	3.1292408E7	9.2778128E7	1857188.6	1.24886912E8	4.241605	2.435189E-8	8746250.0	0.4602957	Global search reduced cost.
510	20	1	0.1448553419701332	0.0	868598.0	922291.5	10.25	790.0	0.2646875	0.383125	3.1292408E7	9.4986736E7	1997188.6	1.24886912E8	4.0068183	2.435189E-8	8782532.0	0.4702957	Global search reduced cost.
540	21	1	0.12259463707314404	0.0	775288.0	888971.5	10.65	790.0	0.2746875	0.373125	3.1292408E7	9.6643192E7	2147188.5	1.2616904E8	3.7720315	2.535189E-8	8855096.0	0.4702957	Global search reduced cost.
586	22	1	0.11648783764764956	0.0	761958.0	872311.5	10.75	790.0	0.2746875	0.373125	3.1151856E7	9.609104E7	2157188.5	1.2616904E8	3.7720315	2.535189E-8	8891378.0	0.4702957	Local search reduced cost.
613	23	1	0.11340859655577651	0.0	761958.0	855651.5	10.95	790.0	0.2746875	0.373125	3.1151856E7	9.4986736E7	2177188.5	1.2616904E8	3.7720315	2.535189E-8	8963942.0	0.4702957	Global search reduced cost.
642	24	1	0.1117221890413464	0.0	761958.0	838991.5	11.15	790.0	0.2746875	0.373125	3.1011304E7	9.4434584E7	2207188.5	1.2616904E8	3.7720315	2.635189E-8	9072788.0	0.4702957	Global search reduced cost.
672	25	1	0.10956955809487362	0.0	748628.0	822331.5	11.25	790.0	0.2746875	0.373125	3.0870752E7	9.4434584E7	2227188.5	1.2616904E8	3.7250738	2.635189E-8	9145352.0	0.4702957	Global search reduced cost.
693	26	1	0.10829021507243183	0.0	735298.0	805671.5	11.25	790.0	0.2746875	0.373125	3.0870752E7	9.4434584E7	2237188.5	1.2616904E8	3.678116	2.635189E-8	9217916.0	0.4702957	Global search reduced cost.
729	27	1	0.10732635276056467	0.0	735298.0	789011.5	11.35	790.0	0.2746875	0.373125	3.0870752E7	9.4434584E7	2237188.5	1.2616904E8	3.631158	2.535189E-8	9254198.0	0.4702957	Global search reduced cost.
756	28	1	0.10646591176424638	0.0	735298.0	772351.5	11.45	790.0	0.2746875	0.373125	3.1011304E7	9.4986736E7	2227188.5	1.2616904E8	3.5842	2.535189E-8	9254198.0	0.4702957	Global search reduced cost.
783	29	1	0.0975991410699486	0.0	721968.0	755691.5	11.45	790.0	0.2846875	0.363125	3.1011304E7	9.5538888E7	2207188.5	1.2616904E8	3.537242	2.535189E-8	9217916.0	0.4702957	Global search reduced cost.
812	30	1	0.09019675308518882	0.0	708638.0	739031.5	11.55	790.0	0.2946875	0.353125	3.0870752E7	9.5538888E7	2197188.5	1.27451168E8	3.490284	2.535189E-8	9217916.0	0.4702957	Global search reduced cost.
840	31	1	0.08193362815323921	0.0	708638.0	739031.5	11.75	790.0	0.3046875	0.343125	3.0589648E7	9.4986736E7	2197188.5	1.27451168E8	3.4902835	2.535189E-8	9254198.0	0.4802957	Global search reduced cost.
863	32	1	0.07801679784101122	0.0	721968.0	755691.5	11.85	790.0	0.3146875	0.333125	3.0449096E7	9.4986736E7	2207188.5	1.27451168E8	3.490283	2.635189E-8	9290480.0	0.4902957	Global search reduced cost.
893	33	1	0.0749913331216946	0.0	721968.0	755691.5	11.85	790.0	0.3246875	0.323125	3.0449096E7	9.5538888E7	2227188.5	1.27451168E8	3.4902825	2.735189E-8	9363044.0	0.4902957	Global search reduced cost.
918	34	1	0.07158289527808226	0.0	708638.0	739031.5	11.85	790.0	0.3346875	0.313125	3.0308544E7	9.609104E7	2257188.5	1.27451168E8	3.490282	2.735189E-8	9471890.0	0.4902957	Global search reduced cost.
975	35	1	0.07054606102834024	0.0	708638.0	739031.5	11.95	790.0	0.3346875	0.313125	3.0449096E7	9.609104E7	2267188.5	1.27451168E8	3.490282	2.635189E-8	9435608.0	0.4902957	Local search reduced cost.
1003	36	1	0.07017421468103578	0.0	708638.0	739031.5	12.15	790.0	0.3346875	0.313125	3.07302E7	9.609104E7	2267188.5	1.27451168E8	3.490282	2.535189E-8	9363044.0	0.4902957	Global search reduced cost.
1023	37	1	0.06961918173018034	0.0	695308.0	739031.5	12.25	790.0	0.3346875	0.313125	3.1011304E7	9.6643192E7	2267188.5	1.27451168E8	3.490282	2.435189E-8	9290480.0	0.4902957	Global search reduced cost.
1081	38	1	0.06949540326693834	0.0	695308.0	739031.5	12.25	790.0	0.3346875	0.313125	3.1011304E7	9.7195344E7	2267188.5	1.27451168E8	3.490282	2.435189E-8	9290480.0	0.4902957	Local search reduced cost.
1120	39	1	0.06929352631485407	0.0	681978.0	739031.5	12.25	790.0	0.3346875	0.313125	3.1151856E7	9.7747496E7	2267188.5	1.27451168E8	3.490282	2.435189E-8	9326762.0	0.4902957	Global search reduced cost.
1120	40	1	0.06929352631485407	0.0	681978.0	739031.5	12.25	790.0	0.3346875	0.313125	3.1151856E7	9.7747496E7	2267188.5	1.27451168E8	3.490282	2.435189E-8	9326762.0	0.4902957	Iteration step did not reduce cost. Reduce step size to '0.5'.
1201	41	1	0.05901620727473625	0.0	681978.0	739031.5	12.3	790.0	0.3296875	0.313125	3.1222132E7	9.7471424E7	2272188.5	1.27451168E8	3.4668033	2.435189E-8	9308621.0	0.4902957	Global search reduced cost.
1251	42	1	0.05752325811090421	0.0	675313.0	739031.5	12.25	790.0	0.3296875	0.313125	3.1292408E7	9.7195352E7	2277188.5	1.27451168E8	3.4433246	2.435189E-8	9290480.0	0.4902957	Local search reduced cost.
1279	43	1	0.05622386667734957	0.0	668648.0	739031.5	12.2	790.0	0.3296875	0.313125	3.143296E7	9.6643208E7	2282188.5	1.27451168E8	3.4198458	2.385189E-8	9290480.0	0.4902957	Global search reduced cost.
1309	44	1	0.055860187914050785	0.0	668648.0	739031.5	12.2	790.0	0.3296875	0.313125	3.1503236E7	9.5814992E7	2282188.5	1.27451168E8	3.4198458	2.385189E-8	9272339.0	0.4902957	Global search reduced cost.
1361	45	1	0.05564253168865538	0.0	668648.0	739031.5	12.25	790.0	0.3296875	0.313125	3.143296E7	9.553892E7	2282188.5	1.27451168E8	3.4198458	2.385189E-8	9254198.0	0.4902957	Local search reduced cost.
1388	46	1	0.055570722137103096	0.0	668648.0	739031.5	12.25	790.0	0.3296875	0.313125	3.1362684E7	9.553892E7	2277188.5	1.27451168E8	3.4198458	2.435189E-8	9236057.0	0.4902957	Global search reduced cost.
1445	47	1	0.05549844444303521	0.0	668648.0	739031.5	12.25	790.0	0.3296875	0.313125	3.1292408E7	9.5262848E7	2282188.5	1.27451168E8	3.4198458	2.435189E-8	9254198.0	0.4902957	Local search reduced cost.
1445	48	1	0.05549844444303521	0.0	668648.0	739031.5	12.25	790.0	0.3296875	0.313125	3.1292408E7	9.5262848E7	2282188.5	1.27451168E8	3.4198458	2.435189E-8	9254198.0	0.4902957	Iteration step did not reduce cost. Reduce step size to '0.25'.
1511	49	1	0.05547725724313313	0.0	668648.0	739031.5	12.225	790.0	0.3296875	0.313125	3.1292408E7	9.5262848E7	2282188.5	1.27451168E8	3.4198458	2.435189E-8	9254198.0	0.4902957	Global search reduced cost.
1557	50	1	0.05546953735972979	0.0	671980.5	739031.5	12.2	790.0	0.3296875	0.313125	3.125727E7	9.5262848E7	2279688.5	1.27451168E8	3.4198458	2.435189E-8	9263269.0	0.4902957	Global search reduced cost.
1615	51	1	0.05545967950667903	0.0	671980.5	739031.5	12.2	790.0	0.3296875	0.313125	3.125727E7	9.5262848E7	2279688.5	1.27451168E8	3.4198458	2.435189E-8	9272340.0	0.4902957	Local search reduced cost.
1615	52	1	0.05545967950667903	0.0	671980.5	739031.5	12.2	790.0	0.3296875	0.313125	3.125727E7	9.5262848E7	2279688.5	1.27451168E8	3.4198458	2.435189E-8	9272340.0	0.4902957	Iteration step did not reduce cost. Reduce step size to '0.125'.
1696	53	1	0.05052123577606095	0.0	671980.5	739031.5	12.2	796.25	0.3284375	0.313125	3.1274838E7	9.5193832E7	2278438.5	1.27451168E8	3.4139762	2.435189E-8	9267805.0	0.4902957	Global search reduced cost.
1722	54	1	0.04990492021350697	0.0	673646.75	741114.0	12.2125	796.25	0.3284375	0.313125	3.1309974E7	9.50558E7	2275938.5	1.27451168E8	3.4139762	2.422689E-8	9258735.0	0.4915457	Global search reduced cost.
1747	55	1	0.04912313919029499	0.0	673646.75	741114.0	12.2125	796.25	0.3284375	0.313125	3.1362678E7	9.4848752E7	2272188.5	1.27451168E8	3.4139762	2.422689E-8	9245130.0	0.4927957	Global search reduced cost.
1775	56	1	0.04875045364957718	0.0	671980.5	741114.0	12.2	796.25	0.3284375	0.313125	3.1397814E7	9.4572688E7	2269688.5	1.27290904E8	3.4081066	2.435189E-8	9226990.0	0.4927957	Global search reduced cost.
1796	57	1	0.048478145205242226	0.0	668648.0	739031.5	12.175	796.25	0.3284375	0.313125	3.1415382E7	9.436564E7	2268438.5	1.27290904E8	3.3963673	2.435189E-8	9208850.0	0.4927957	Global search reduced cost.
1825	58	1	0.04830732796859051	0.0	663649.25	739031.5	12.1625	796.25	0.3284375	0.313125	3.1415382E7	9.4227608E7	2268438.5	1.27290904E8	3.384628	2.435189E-8	9195245.0	0.4927957	Global search reduced cost.
1850	59	1	0.048110786755880666	0.0	658650.5	739031.5	12.1625	796.25	0.3284375	0.313125	3.1397814E7	9.4158592E7	2269688.5	1.27290904E8	3.3728888	2.422689E-8	9186175.0	0.4927957	Global search reduced cost.
1876	60	1	0.0479139985113182	0.0	655318.0	736949.0	12.175	796.25	0.3284375	0.313125	3.1362678E7	9.4158592E7	2269688.5	1.27290904E8	3.3552797	2.410189E-8	9181640.0	0.4927957	Global search reduced cost.
1903	61	1	0.04770808759448791	0.0	650319.25	734866.5	12.2	796.25	0.3284375	0.313125	3.1309974E7	9.4089576E7	2269688.5	1.27451168E8	3.3376706	2.397689E-8	9181640.0	0.4927957	Global search reduced cost.
1930	62	1	0.04751010338781697	0.0	646986.75	730701.5	12.2375	796.25	0.3284375	0.313125	3.1274838E7	9.3951544E7	2270938.5	1.27451168E8	3.3200614	2.397689E-8	9186175.0	0.4927957	Global search reduced cost.
1959	63	1	0.047361952198146415	0.0	641988.0	726536.5	12.2625	796.25	0.3284375	0.313125	3.1222134E7	9.3744496E7	2270938.5	1.27611432E8	3.2965822	2.410189E-8	9195245.0	0.4940457	Global search reduced cost.
1986	64	1	0.047328160878729666	0.0	636989.25	722371.5	12.3	796.25	0.3284375	0.313125	3.116943E7	9.3537448E7	2270938.5	1.27771696E8	3.273103	2.435189E-8	9208850.0	0.4952957	Global search reduced cost.
2042	65	1	0.047321814038581295	0.0	636989.25	722371.5	12.3	796.25	0.3284375	0.313125	3.116943E7	9.3537448E7	2270938.5	1.27771696E8	3.273103	2.435189E-8	9213385.0	0.4952957	Local search reduced cost.
2070	66	1	0.04728360767868381	0.0	635323.0	722371.5	12.3125	796.25	0.3284375	0.313125	3.116943E7	9.3468432E7	2270938.5	1.27771696E8	3.273103	2.435189E-8	9222455.0	0.4940457	Global search reduced cost.
2096	67	1	0.04720898810939272	0.0	631990.5	720289.0	12.3125	796.25	0.3284375	0.313125	3.1151862E7	9.3399416E7	2272188.5	1.27771696E8	3.273103	2.435189E-8	9236060.0	0.4940457	Global search reduced cost.
2122	68	1	0.04716994779680905	0.0	630324.25	720289.0	12.325	796.25	0.3284375	0.313125	3.1151862E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.422689E-8	9254200.0	0.4940457	Global search reduced cost.
2150	69	1	0.0471551911390629	0.0	628658.0	720289.0	12.325	796.25	0.3284375	0.313125	3.116943E7	9.3468432E7	2272188.5	1.27771696E8	3.2672334	2.422689E-8	9276875.0	0.4940457	Global search reduced cost.
2179	70	1	0.047138376602425265	0.0	628658.0	720289.0	12.325	796.25	0.3284375	0.313125	3.116943E7	9.3468432E7	2272188.5	1.27771696E8	3.2672334	2.422689E-8	9304085.0	0.4940457	Global search reduced cost.
2208	71	1	0.047137788934027675	0.0	628658.0	720289.0	12.325	796.25	0.3284375	0.313125	3.1151862E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.422689E-8	9326760.0	0.4940457	Global search reduced cost.
2236	72	1	0.04711114261238527	0.0	628658.0	718206.5	12.325	796.25	0.3284375	0.313125	3.1116726E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.435189E-8	9344900.0	0.4940457	Global search reduced cost.
2294	73	1	0.0470975334884038	0.0	628658.0	718206.5	12.325	796.25	0.3284375	0.313125	3.1099158E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.447689E-8	9344900.0	0.4940457	Local search reduced cost.
2294	74	1	0.0470975334884038	0.0	628658.0	718206.5	12.325	796.25	0.3284375	0.313125	3.1099158E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.447689E-8	9344900.0	0.4940457	Iteration step did not reduce cost. Reduce step size to '0.0625'.
2294	75	1	0.0470975334884038	0.0	628658.0	718206.5	12.325	796.25	0.3284375	0.313125	3.1099158E7	9.3399416E7	2272188.5	1.27771696E8	3.2672334	2.447689E-8	9344900.0	0.4940457	Iteration step did not reduce cost. Reduce step size to '0.03125'.
2408	76	1	0.04686535817629178	0.0	628658.0	718206.5	12.325	797.8125	0.3284375	0.313125	3.1099158E7	9.3399416E7	2271876.0	1.27731632E8	3.2687008	2.444564E-8	9343766.0	0.4937332	Global search reduced cost.
2427	77	1	0.04682458607935115	0.0	629074.56	717685.9	12.325	797.8125	0.3284375	0.313125	3.1099158E7	9.338216E7	2271251.0	1.27691568E8	3.2701683	2.441439E-8	9342632.0	0.4934207	Global search reduced cost.
2467	78	1	0.04680991952807463	0.0	629074.56	717685.94	12.321875	797.8125	0.3284375	0.313125	3.1099158E7	9.3364904E7	2270313.5	1.27651504E8	3.2716358	2.438314E-8	9341498.0	0.4934207	Global search reduced cost.
2495	79	1	0.04679705249334873	0.0	628658.0	718206.6	12.31875	797.8125	0.3284375	0.313125	3.1099158E7	9.3347648E7	2269376.0	1.27651504E8	3.2716358	2.438314E-8	9340364.0	0.4937332	Global search reduced cost.
2495	80	1	0.04679705249334873	0.0	628658.0	718206.6	12.31875	797.8125	0.3284375	0.313125	3.1099158E7	9.3347648E7	2269376.0	1.27651504E8	3.2716358	2.438314E-8	9340364.0	0.4937332	Iteration step did not reduce cost. Reduce step size to '0.015625'.
2578	81	1	0.04675997503643265	0.0	628658.0	718206.6	12.31875	798.59375	0.3284375	0.313125	3.1099158E7	9.3356272E7	2269376.0	1.27631472E8	3.2709022	2.4398766E-8	9340364.0	0.49357694	Global search reduced cost.
2578	82	1	0.04675997503643265	0.0	628658.0	718206.6	12.31875	798.59375	0.3284375	0.313125	3.1099158E7	9.3356272E7	2269376.0	1.27631472E8	3.2709022	2.4398766E-8	9340364.0	0.49357694	Iteration step did not reduce cost. Maximum number of step reductions reached.
2578	82	1	0.04675997503643265	0.0	628658.0	718206.6	12.31875	798.59375	0.3284375	0.313125	3.1099158E7	9.3356272E7	2269376.0	1.27631472E8	3.2709022	2.4398766E-8	9340364.0	0.49357694	Minimum point.
