GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Sat Sep 25 14:30:42 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.pulm_C_PA	settings.syst_TPR	settings.heart_vntr_xi_AmRef	settings.pulm_R	settings.syst_art_k_E	settings.heart_vntr_D_A	settings.V_PV_init	LVfunctionFraction
522	36	1	0.002090585688269479	8.398367E-9	1.40480208E8	0.8725	2.299788E7	1.8652977	1054.783	8.0125E-4	0.83125	Global search reduced cost.
532	37	1	0.001986015579931242	8.036843E-9	1.40480208E8	0.8725	2.3060626E7	1.8527977	1061.033	8.025E-4	0.825	Global search reduced cost.
564	38	1	0.0019653204112907554	8.036843E-9	1.40319296E8	0.8725	2.3123372E7	1.8527977	1061.033	8.0125E-4	0.825	Local search reduced cost.
567	39	1	0.0019619627973870442	8.036843E-9	1.40158384E8	0.8725	2.3186118E7	1.8527977	1061.033	8.0E-4	0.825	Global search reduced cost.
567	40	1	0.0019619627973870442	8.036843E-9	1.40158384E8	0.8725	2.3186118E7	1.8527977	1061.033	8.0E-4	0.825	Iteration step did not reduce cost. Reduce step size to '0.0625'.
607	41	1	0.00195964902497128	8.036843E-9	1.4007792E8	0.8725	2.3154744E7	1.8590477	1061.033	8.00625E-4	0.825	Global search reduced cost.
624	42	1	0.0019591686743022987	8.036843E-9	1.39997456E8	0.8725	2.312337E7	1.8590477	1061.033	8.00625E-4	0.825	Global search reduced cost.
639	43	1	0.0019575950364544782	8.036843E-9	1.39836528E8	0.8725	2.312337E7	1.8527977	1061.033	8.0125E-4	0.825	Global search reduced cost.
661	44	1	0.0019569883839055968	8.036843E-9	1.39916992E8	0.8725	2.312337E7	1.8527977	1061.033	8.0125E-4	0.825	Local search reduced cost.
661	45	1	0.0019569883839055968	8.036843E-9	1.39916992E8	0.8725	2.312337E7	1.8527977	1061.033	8.0125E-4	0.825	Iteration step did not reduce cost. Reduce step size to '0.03125'.
683	46	1	0.0019569821157176246	8.036843E-9	1.39957216E8	0.8725	2.312337E7	1.8527977	1061.033	8.0125E-4	0.825	Global search reduced cost.
683	47	1	0.0019569821157176246	8.036843E-9	1.39957216E8	0.8725	2.312337E7	1.8527977	1061.033	8.0125E-4	0.825	Iteration step did not reduce cost. Reduce step size to '0.015625'.
711	48	1	0.001955472913324139	8.036843E-9	1.39937104E8	0.8726562	2.312337E7	1.8512352	1061.033	8.0109376E-4	0.825	Global search reduced cost.
721	49	1	0.0019550265035382223	8.036843E-9	1.3989688E8	0.8728124	2.3131214E7	1.8496727	1061.033	8.0093753E-4	0.825	Global search reduced cost.
743	50	1	0.001954563168110134	8.036843E-9	1.39836544E8	0.87281233	2.3131214E7	1.8496727	1061.033	8.0093753E-4	0.825	Global search reduced cost.
758	51	1	0.001954372064249376	8.036843E-9	1.3979632E8	0.8728123	2.312337E7	1.8496727	1061.033	8.0109376E-4	0.825	Global search reduced cost.
771	52	1	0.001954299356506751	8.036843E-9	1.39756096E8	0.8728123	2.3115526E7	1.8481102	1061.033	8.0125E-4	0.825	Global search reduced cost.
771	53	1	0.001954299356506751	8.036843E-9	1.39756096E8	0.8728123	2.3115526E7	1.8481102	1061.033	8.0125E-4	0.825	Iteration step did not reduce cost. Maximum number of step reductions reached.
771	53	1	0.001954299356506751	8.036843E-9	1.39756096E8	0.8728123	2.3115526E7	1.8481102	1061.033	8.0125E-4	0.825	Minimum point.
