GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Aug 30 11:25:49 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.heart_R_LA	settings.syst_art_k_E	settings.heart_vntr_D_0	settings.heart_vntr_D_A	settings.heart_vntr_TS	settings.heart_vntr_TR	settings.heart_vntr_D_A_maxAct	settings.heart_vntr_TS_maxAct	settings.heart_vntr_TR_maxAct	settings.heart_atr_D_0	settings.heart_atr_D_A	pulmonaryTriSeg.c_pa.Compliance	settings.pulm_R	systemic_TriSeg._R_SA	settings.V_PV_init	pulmonaryR_factor	venoconstrictionFactor	vasodilatationFactor
27	28	1	896696.9241438982	557549.75	0.6746707	34.3576	1071.9705	0.33203125	0.3234375	4659.38	0.03555525	0.1828519	2.174118E7	6.5317424E7	1.754657E-8	2.2817506E7	4.395	6.6734396E-4	54.809376	24.487497	12.15625	Generation 2.
28	29	1	458.92223959538205	325840.25	1.3746707	52.3576	1121.9705	0.19203126	0.2634375	4859.38	0.09555525	0.0828519	1.0340316E7	1.120579E7	4.936066E-8	8260221.5	5.915	-6.0265604E-4	2.709375	25.987497	10.15625	Generation 2.
29	30	1	1.545305114795278E11	392042.97	1.0746707	69.1576	1071.9705	0.14203127	0.3234375	4859.38	0.06555525	0.0828519	4772451.0	5.3123252E7	5.225285E-8	6.397948E7	3.815	8.1734394E-4	65.609375	9.387497	16.35625	Generation 2.
30	31	1	2.7909170947993336E10	1318881.0	0.1746707	134.8576	1271.9705	0.41203126	0.1634375	4459.38	0.04555525	0.1128519	1.6703589E7	3.1021318E7	4.936066E-8	1.4283925E7	9.255	-6.7265605E-4	2.209375	4.4874964	3.05625	Generation 2.
30	32	1	661.2429096164104	938215.4	1.2746707	193.8576	1371.9705	0.17203125	0.1034375	4859.38	0.01555525	0.1628519	2.253659E7	3.6356268E7	8.87E-9	8.6066392E7	2.155	8.8734395E-4	2.609375	28.387497	24.15625	Generation 2.
30	33	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 3.
31	34	1	273.35559234972646	1451286.5	0.5746707	32.3576	1521.9705	0.42203125	0.2334375	5059.38	0.08555525	0.1628519	2.8104454E7	4.0166948E7	1.465438E-8	2.1813554E7	3.515	-4.1265605E-4	45.109375	16.887497	4.35625	Generation 3.
32	35	1	1000.0	1004418.1	0.3746707	101.6576	2071.9705	0.22203127	0.2334375	4859.38	0.05555525	0.1428519	2.0945772E7	4.6264032E7	2.043876E-8	5.54459E7	3.175	-9.0265606E-4	37.809376	13.987496	14.95625	Generation 3.
33	36	1	144.3586324840675	1716097.4	0.4746707	52.3576	1421.9705	0.27203125	0.3034375	4859.38	0.03555525	0.1228519	2.3862272E7	2.873491E7	2.911533E-8	6.4983432E7	1.655	-8.265604E-5	25.409374	8.987496	10.35625	Generation 3.
34	37	1	481.0578288835639	1252678.4	1.0746707	78.9576	2421.9705	0.30203125	0.3634375	4659.38	0.05555525	0.1328519	2.8634728E7	3.254559E7	8.87E-9	3.6872812E7	3.615	1.6734395E-4	43.009377	16.787497	5.15625	Generation 3.
35	38	1	204.963230274598	921664.75	0.9746707	44.2576	2271.9705	0.44203126	0.2934375	4659.38	0.08555525	0.0928519	2.2801726E7	2.873491E7	4.936066E-8	5.9461704E7	6.335	-3.2265604E-4	84.90938	14.287497	17.95625	Generation 3.
36	39	1	2.900534057797341E10	1467837.1	0.3746707	106.0576	1521.9705	0.20203125	0.3834375	4259.38	0.06555525	0.0828519	1.2726543E7	4.0929084E7	3.489971E-8	6.0465652E7	9.015	-4.92656E-4	56.809376	15.387497	29.85625	Generation 3.
37	40	1	270.1170192032484	1368533.1	0.6746707	78.8576	1271.9705	0.38203126	0.4434375	4259.38	0.05555525	0.1728519	2.6513636E7	1.2730061E7	5.514504E-8	4.8418244E7	9.715	-8.0265605E-4	56.909374	21.987497	24.05625	Generation 3.
38	41	1	17238.44964764776	1153374.2	0.6746707	54.6576	2471.9705	0.25203127	0.3934375	4459.38	0.04555525	0.0728519	9014634.0	3.9404812E7	3.200752E-8	7.7532816E7	4.955	4.9734395E-4	56.709373	18.387497	24.85625	Generation 3.
39	42	1	322.7249608642558	342390.9	1.1746707	60.9576	2721.9705	0.33203125	0.4734375	4259.38	0.08555525	0.0428519	4507315.0	3.5594132E7	6.092942E-8	8.0042688E7	1.555	4.9734395E-4	8.409375	11.787497	25.45625	Generation 3.
40	43	1	4.4981179009891644E11	656853.8	0.7746707	114.9576	1921.9705	0.37203127	0.3234375	4459.38	0.06555525	0.0328519	3711905.5	3.8642676E7	5.514504E-8	8.0544664E7	5.335	-6.265604E-5	48.109375	27.087496	33.05625	Generation 3.
41	44	1	726.0344610348538	872012.7	0.6746707	54.0576	1121.9705	0.35203126	0.3634375	4459.38	0.04555525	0.1828519	2.3597136E7	4.473976E7	3.200752E-8	3.386096E7	6.455	8.734396E-5	54.609375	23.587496	17.05625	Generation 3.
42	45	1	866.9773994878396	838911.3	1.0746707	37.8576	1421.9705	0.24203126	0.3334375	4859.38	0.08555525	0.0928519	1.8029272E7	2.5686368E7	2.911533E-8	6754295.5	3.935	-3.0265603E-4	1.909375	16.987497	6.75625	Generation 3.
43	46	1	25098.054559735945	739607.25	0.8746707	59.5576	1171.9705	0.26203126	0.2434375	4859.38	0.08555525	0.1128519	1.299168E7	4.7026168E7	4.068409E-8	5.2936024E7	4.275	2.3734396E-4	68.30937	15.087497	12.65625	Generation 3.
44	47	1	1.9480122342107717E12	1169924.9	0.5746707	158.7576	1321.9705	0.31203127	0.1434375	4659.38	0.03555525	0.1328519	1.9089816E7	3.3307726E7	3.200752E-8	4.3398492E7	6.375	-4.265604E-5	2.409375	14.187496	11.65625	Generation 3.
45	48	1	346.7170003377429	706505.9	1.2746707	138.8576	1271.9705	0.18203126	0.1634375	4859.38	0.04555525	0.1328519	1.7764134E7	2.6448504E7	2.333095E-8	5.5947876E7	3.615	3.0734396E-4	2.609375	27.487497	18.75625	Generation 3.
45	49	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 4.
46	50	1	225.38745633355356	1517489.2	0.5746707	25.0576	1721.9705	0.37203127	0.3234375	5059.38	0.07555525	0.1328519	2.8634728E7	4.3215488E7	8.87E-9	1.378195E7	2.355	-1.5265604E-4	24.709375	10.887497	3.25625	Generation 4.
47	51	1	175.7229373454946	1302330.4	0.4746707	78.2576	1771.9705	0.26203126	0.2534375	4859.38	0.05555525	0.1428519	2.253659E7	3.8642676E7	2.333095E-8	5.74538E7	2.695	-5.7265605E-4	35.209373	12.787497	12.55625	Generation 4.
48	52	1	34.20918816323572	1649894.6	0.5746707	29.2576	1721.9705	0.30203125	0.3934375	5059.38	0.05555525	0.1128519	2.7309046E7	4.0166948E7	1.17621894E-8	2.5829356E7	1.235	6.734396E-5	9.609375	5.6874967	4.85625	Generation 4.
49	53	1	201.56800604275338	1467837.1	0.7746707	38.7576	2121.9705	0.31203127	0.4134375	4859.38	0.06555525	0.1228519	2.8899864E7	4.1691216E7	3.0856198E-9	1.5789851E7	1.935	1.5734397E-4	15.809375	8.487496	3.05625	Generation 4.
50	54	1	135.49654329436072	1203026.2	0.7746707	43.0576	1671.9705	0.47203127	0.1734375	4859.38	0.09555525	0.1528519	2.5983364E7	3.406986E7	3.489971E-8	4.239454E7	5.555	-6.1265606E-4	77.40938	21.287497	10.25625	Generation 4.
51	55	1	149.48433775425806	1252678.4	0.6746707	76.4576	1721.9705	0.33203125	0.3634375	4459.38	0.07555525	0.1128519	1.962009E7	3.0259182E7	4.357628E-8	5.6951824E7	8.155	-5.0265604E-4	67.30937	16.487497	23.95625	Generation 4.
52	56	1	205.2617274937084	1500938.5	0.5746707	68.6576	1321.9705	0.34203127	0.3834375	4459.38	0.04555525	0.1528519	2.545309E7	1.8827146E7	4.357628E-8	5.4943924E7	6.495	-5.1265606E-4	44.609375	16.887497	18.55625	Generation 4.
53	57	1	747.257674132559	673404.5	0.9746707	58.4576	2621.9705	0.30203125	0.4434375	4259.38	0.07555525	0.0528519	6098133.0	3.7118404E7	4.936066E-8	7.9038736E7	2.895	4.9734395E-4	27.409374	14.487496	25.25625	Generation 4.
54	58	1	358.39568171236346	574100.44	1.0746707	54.2576	2521.9705	0.37203127	0.4034375	4459.38	0.08555525	0.0628519	1.1931134E7	3.254559E7	5.514504E-8	7.2011088E7	3.475	1.6734395E-4	39.209373	12.787497	22.45625	Generation 4.
55	59	1	6.180289847133706E12	507897.72	0.9746707	90.0576	2271.9705	0.35203126	0.3934375	4459.38	0.07555525	0.0428519	3977042.0	3.7118404E7	5.803723E-8	8.0042688E7	3.595	1.9734396E-4	29.809376	19.987497	29.55625	Generation 4.
56	60	1	177.36259324324075	1186475.6	0.6746707	71.0576	1221.9705	0.37203127	0.4134375	4259.38	0.05555525	0.1728519	2.545309E7	2.4162096E7	4.6468468E-8	4.3398492E7	8.495	-4.7265604E-4	55.409374	22.587496	21.65625	Generation 4.
57	61	1	290.4912047186718	1219577.0	0.7746707	27.3576	1671.9705	0.28203127	0.3834375	5059.38	0.07555525	0.1028519	2.3597136E7	3.5594132E7	1.465438E-8	5248369.5	2.495	-8.265604E-5	1.409375	10.487496	4.35625	Generation 4.
58	62	1	271.31400226513495	1120272.9	0.6746707	49.2576	1271.9705	0.39203125	0.1634375	5059.38	0.09555525	0.1528519	2.174118E7	4.0929084E7	3.200752E-8	4.0888616E7	4.775	-3.7265604E-4	71.20937	21.187496	8.65625	Generation 4.
59	63	1	627.2007389573644	954766.06	0.9746707	154.3576	1321.9705	0.25203127	0.1434375	4659.38	0.03555525	0.1328519	1.882468E7	3.1021318E7	2.622314E-8	5.2434048E7	4.855	1.8734396E-4	2.509375	20.887497	15.65625	Generation 4.
60	64	1	147.34566070645403	1020968.8	0.9746707	84.5576	1271.9705	0.22203127	0.2434375	4859.38	0.05555525	0.1128519	1.8559544E7	2.4162096E7	3.200752E-8	4.8418244E7	3.375	-6.265604E-5	11.609375	19.787497	13.45625	Generation 4.
60	65	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 5.
61	66	1	205.54143250783878	1534039.9	0.5746707	24.3576	1721.9705	0.37203127	0.3334375	5059.38	0.07555525	0.1328519	2.8634728E7	4.3215488E7	8.87E-9	1.2777999E7	2.255	-1.3265605E-4	22.609375	10.287497	3.15625	Generation 5.
62	67	1	75.21027490362243	1517489.2	0.5746707	54.8576	1621.9705	0.29203126	0.3034375	4859.38	0.05555525	0.1328519	2.4657682E7	3.6356268E7	2.043876E-8	4.8418244E7	2.075	-2.5265603E-4	26.509375	10.187496	9.35625	Generation 5.
63	68	1	6.88200122604703	1600242.6	0.5746707	16.9576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	5248369.5	1.015	1.4734396E-4	1.109375	3.9874966	1.95625	Generation 5.
64	69	1	6.994947782757733	1583691.9	0.5746707	17.3576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4746394.5	1.035	1.4734396E-4	1.309375	4.0874963	1.95625	Generation 5.
65	70	1	152.27601384541654	1302330.4	0.6746707	42.6576	1471.9705	0.48203126	0.1334375	5059.38	0.09555525	0.1728519	2.7043908E7	3.6356268E7	2.911533E-8	3.637084E7	5.275	-7.22656E-4	74.609375	23.887497	7.45625	Generation 5.
66	71	1	122.61679446191131	1153374.2	0.7746707	55.4576	1771.9705	0.42203125	0.2934375	4659.38	0.08555525	0.1328519	2.4127408E7	2.721064E7	4.357628E-8	5.1430096E7	7.055	-5.4265605E-4	74.20937	18.387497	17.65625	Generation 5.
67	72	1	105.66735128839218	1600242.6	0.5746707	52.9576	1471.9705	0.31203127	0.3634375	4659.38	0.04555525	0.1328519	2.5718226E7	2.7972776E7	2.911533E-8	4.8418244E7	3.715	-2.3265604E-4	29.509375	11.587497	12.35625	Generation 5.
68	73	1	385.63762539907975	656853.8	0.9746707	63.6576	2271.9705	0.34203127	0.4534375	4259.38	0.07555525	0.0828519	1.0870588E7	3.254559E7	5.514504E-8	6.8999232E7	3.835	2.0734395E-4	25.209375	15.487496	24.25625	Generation 5.
69	74	1	258.9534105400064	789259.25	0.9746707	50.1576	2271.9705	0.41203126	0.3234375	4659.38	0.08555525	0.0928519	1.6968726E7	3.254559E7	4.936066E-8	6.197158E7	4.315	-1.0265604E-4	54.009377	15.487496	18.45625	Generation 5.
70	75	1	790.1844034032007	772708.6	0.8746707	92.2576	2021.9705	0.35203126	0.3634375	4459.38	0.07555525	0.0628519	8749497.0	3.5594132E7	5.225285E-8	7.3015032E7	5.435	-8.265604E-5	46.109375	20.687496	28.75625	Generation 5.
71	76	1	1.784458585537928E11	1252678.4	0.7746707	81.3576	1271.9705	0.33203125	0.3834375	4459.38	0.05555525	0.1528519	2.4127408E7	1.654074E7	4.6468468E-8	4.8418244E7	7.675	-5.52656E-4	42.409374	21.387497	20.85625	Generation 5.
72	77	1	93.23362613161274	1467837.1	0.5746707	20.2576	1821.9705	0.31203127	0.4234375	5059.38	0.06555525	0.1128519	2.7309046E7	4.2453352E7	5.97781E-9	4244419.0	1.515	6.734396E-5	1.009375	6.0874963	2.75625	Generation 5.
73	78	1	186.3552310221358	1335431.8	0.5746707	43.3576	1321.9705	0.46203125	0.1134375	5059.38	0.10555525	0.1828519	2.6778772E7	3.788054E7	2.622314E-8	3.386096E7	5.055	-7.1265607E-4	72.90938	24.587496	6.35625	Generation 5.
74	79	1	275.3912139691958	905114.06	1.0746707	131.5576	1321.9705	0.22203127	0.1734375	4659.38	0.04555525	0.1328519	1.8559544E7	2.7972776E7	2.622314E-8	5.4441948E7	3.855	1.9734396E-4	5.309375	22.987497	16.45625	Generation 5.
75	80	1	110.06021735991526	1318881.0	0.7746707	47.9576	1421.9705	0.26203126	0.3134375	4859.38	0.05555525	0.1028519	2.1476044E7	2.7972776E7	2.911533E-8	3.8880716E7	2.635	-1.5265604E-4	14.309375	12.687496	8.85625	Generation 5.
75	81	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 6.
76	82	1	254.15660341636377	1434735.8	0.5746707	34.2576	1521.9705	0.43203127	0.2134375	5059.38	0.09555525	0.1728519	2.8104454E7	4.0166948E7	1.754657E-8	2.3821456E7	3.835	-4.8265603E-4	50.609375	18.587496	4.65625	Generation 6.
77	83	1	35.69042569463156	1633344.0	0.5746707	31.8576	1671.9705	0.31203127	0.3734375	5059.38	0.05555525	0.1228519	2.7043908E7	3.9404812E7	1.17621894E-8	2.8841208E7	1.455	1.734396E-5	13.709375	6.8874965	5.35625	Generation 6.
78	84	1	18.653354178308344	1583691.9	0.5746707	12.3576	1971.9705	0.33203125	0.4634375	5059.38	0.06555525	0.1128519	2.8634728E7	4.855044E7	3.0856198E-9	2738493.0	0.935	1.7734396E-4	2.109375	3.2874966	0.85625	Generation 6.
79	85	1	65.83674204380428	1633344.0	0.4746707	9.2576	1871.9705	0.32203126	0.4534375	5059.38	0.06555525	0.1128519	2.9165E7	4.7788304E7	1.934298E-10	228616.6	0.695	1.4734396E-4	4.209375	2.3874965	1.45625	Generation 6.
80	86	1	255.18079774933906	1368533.1	0.6746707	33.1576	1721.9705	0.42203125	0.2634375	4859.38	0.08555525	0.1428519	2.7574182E7	3.9404812E7	2.043876E-8	2.6331332E7	3.755	-3.5265603E-4	47.809376	15.387497	6.35625	Generation 6.
81	87	1	114.68666546003983	1252678.4	0.7746707	47.5576	1721.9705	0.40203127	0.2734375	4859.38	0.07555525	0.1428519	2.5983364E7	2.9497046E7	3.489971E-8	4.8418244E7	4.755	-4.4265605E-4	58.609375	15.987496	12.15625	Generation 6.
82	88	1	43.30692932559185	1633344.0	0.5746707	33.5576	1671.9705	0.30203125	0.3834375	4859.38	0.05555525	0.1228519	2.7043908E7	3.788054E7	1.17621894E-8	2.984516E7	1.675	1.734396E-5	13.209375	6.7874966	6.15625	Generation 6.
83	89	1	239.52063719047098	1004418.1	0.8746707	47.9576	2021.9705	0.35203126	0.4534375	4459.38	0.07555525	0.1028519	1.962009E7	3.6356268E7	3.489971E-8	4.0888616E7	3.115	7.734396E-5	15.309375	11.487496	15.45625	Generation 6.
84	90	1	162.36804634080502	1020968.8	0.8746707	45.9576	1921.9705	0.45203125	0.2334375	4859.38	0.08555525	0.1228519	2.2271454E7	3.3307726E7	4.068409E-8	5.092812E7	5.095	-3.9265605E-4	68.30937	18.687496	13.85625	Generation 6.
85	91	1	147.3695189606167	1020968.8	0.7746707	79.0576	1821.9705	0.38203126	0.3234375	4459.38	0.07555525	0.0928519	1.6173316E7	3.1783454E7	4.6468468E-8	6.2473552E7	6.735	-3.6265605E-4	62.709373	20.087496	24.25625	Generation 6.
86	92	1	124.81355962266014	1351982.4	0.6746707	66.7576	1321.9705	0.34203127	0.3834375	4459.38	0.05555525	0.1528519	2.5187954E7	2.339996E7	4.068409E-8	4.6410344E7	6.475	-4.0265603E-4	42.309376	18.087496	17.95625	Generation 6.
87	93	1	9.46750921417433	1616793.2	0.4746707	16.2576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.8899864E7	4.6264032E7	1.934298E-10	3742443.8	0.975	1.5734397E-4	0.809375	3.6874964	1.85625	Generation 6.
88	94	1	274.4483886761817	1467837.1	0.5746707	32.4576	1521.9705	0.43203127	0.2134375	5059.38	0.09555525	0.1628519	2.8899864E7	3.8642676E7	1.754657E-8	2.0307628E7	3.815	-5.4265605E-4	46.209373	18.787497	4.15625	Generation 6.
89	95	1	148.1495097711174	1120272.9	0.9746707	94.0576	1421.9705	0.23203126	0.2334375	4859.38	0.05555525	0.1328519	2.0945772E7	3.0259182E7	2.333095E-8	5.2936024E7	2.815	2.734396E-5	14.409375	18.887497	14.05625	Generation 6.
90	96	1	64.33857626644745	1534039.9	0.5746707	22.7576	1671.9705	0.30203125	0.3934375	4859.38	0.05555525	0.1028519	2.545309E7	3.6356268E7	1.754657E-8	2.2817506E7	1.755	-7.265604E-5	10.309375	6.7874966	4.55625	Generation 6.
90	97	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 7.
91	98	1	166.0949225384413	1385083.8	0.5746707	40.6576	1371.9705	0.47203127	0.1334375	5059.38	0.10555525	0.1928519	2.7839318E7	3.788054E7	2.333095E-8	3.084911E7	4.855	-7.1265607E-4	68.609375	23.887497	5.65625	Generation 7.
