GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of Parametric algorithm
Start time: Tue Nov 10 22:19:39 CET 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.V_PV_init	settings.heart_R_vlv	settings.heart_R_LA	settings.heart_drive_D_0	settings.heart_drive_D_A	settings.heart_drive_D_A_actMax	settings.heart_drive_TS	settings.heart_drive_TR	settings.heart_drive_TR_maxAct	settings.heart_drive_atr_D_0	settings.heart_atr_D_A	settings.heart_vntr_xi_Vw	settings.heart_vntr_xi_AmRef	settings.heart_vntr_k_passive	settings.eta_vc	settings.tissues_eta_Ra	settings.tissues_eta_C	settings.veins_gamma	settings.pulm_C_PV	settings.pulm_C_PA	settings.pulm_R
11	11	1	2.5494102635493334	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	10064.25	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
12	12	1	2.271298369372249	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9105.75	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
13	13	1	3.8638989038693623	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14700000000000002	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
14	14	1	2.3144267424927563	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.133	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
15	15	1	3.4569774795641317	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.399	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
16	16	1	2.4200027304707157	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.361	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
17	17	1	2.268781467254096	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.11622229500000002	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
18	18	1	2.2644714953189915	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.105153505	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
19	19	1	3.30283229829706	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.18021575E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
20	20	1	2.622855440277389	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.06781425E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
21	21	1	3.777217798414695	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.368125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
22	22	1	2.230817119960539	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	4.856875E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
23	23	1	2.394725324570454	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8434892549999999	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
24	24	1	2.416349221214076	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.763156945	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
25	25	1	2.487754954455416	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.1385150000000002	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
26	26	1	2.3995506795560035	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.030085	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
27	27	1	2.625991984663666	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	18.6375	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
28	28	1	2.2149104609711294	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	16.8625	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
29	29	1	2.2678552250113375	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.13536306	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
30	30	1	2.267779400926405	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.12247134	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
31	31	1	2.301207377282358	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.67248625	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
32	32	1	2.474277965620129	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.41796375	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
33	33	1	2.260186490515655	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.359225055	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
34	34	1	2.5317615413083883	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.325013145	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
35	35	1	2.623105031063624	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.77109375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
36	36	1	2.368998014408184	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.69765625	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
37	37	1	2.520129196496571	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.3963709500000004E-7	3.95E-8	9613356.0	Function evaluation successful.
38	38	1	2.6685276241533744	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.0729070499999996E-7	3.95E-8	9613356.0	Function evaluation successful.
39	39	1	2.4948108036400938	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	4.147500000000001E-8	9613356.0	Function evaluation successful.
40	40	1	2.183371491914404	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.7525E-8	9613356.0	Function evaluation successful.
41	41	1	3.067253465595195	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	1.00940238E7	Function evaluation successful.
42	42	1	2.277723302190598	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9132688.2	Function evaluation successful.
