GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Dec 14 10:08:44 CET 2021

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	settings.heart_vntr_D_A_maxAct	settings.heart_vntr_D_0_maxAct	settings.heart_vntr_TS_maxAct	settings.heart_vntr_TR_maxAct	settings.eta_vc	settings.baro_f1	settings.tissues_eta_Ra	settings.tissues_eta_Rv	settings.tissues_eta_C	settings.tissues_chi_Ra	settings.tissues_chi_Rv	settings.tissues_chi_C
27	3	12	1	1.232786364999669	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.tissues_eta_Ra+dsettings.tissues_eta_Ra.
28	3	13	1	1.2061702764993927	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.tissues_eta_Rv-dsettings.tissues_eta_Rv.
29	3	14	1	1.1902761656177576	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	23.8125	18.84375	-0.07125	Cost reduced     at settings.tissues_eta_C+dsettings.tissues_eta_C.
30	3	15	1	1.191852666953376	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	24.8125	18.84375	-0.07125	Cost not reduced at settings.tissues_chi_Ra+dsettings.tissues_chi_Ra.
31	3	16	1	1.2008237784199731	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	22.8125	18.84375	-0.07125	Cost not reduced at settings.tissues_chi_Ra-dsettings.tissues_chi_Ra.
32	3	17	1	1.1882487191522522	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	23.8125	19.84375	-0.07125	Cost reduced     at settings.tissues_chi_Rv+dsettings.tissues_chi_Rv.
33	3	18	1	1.1830574935715925	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	23.8125	19.84375	-0.06125	Cost reduced     at settings.tissues_chi_C+dsettings.tissues_chi_C.
33	3	19	1	1.1830574935715925	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	23.8125	19.84375	-0.06125	Global search reduced cost.
34	4	1	1	1.5197168119883138	4400.005	0.001265	0.164774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Exploration base, Delta = 1.0.
35	4	2	1	1.5322862795578895	4600.005	0.001265	0.164774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.heart_vntr_D_A_maxAct+dsettings.heart_vntr_D_A_maxAct.
36	4	3	1	1.5080697060638042	4200.005	0.001265	0.164774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.heart_vntr_D_A_maxAct-dsettings.heart_vntr_D_A_maxAct.
37	4	4	1	1.5080722167536167	4200.005	0.001285	0.164774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
38	4	5	1	1.508067304520334	4200.005	0.001245	0.164774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.heart_vntr_D_0_maxAct-dsettings.heart_vntr_D_0_maxAct.
39	4	6	1	2.2936513075147786	4200.005	0.001245	0.174774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.heart_vntr_TS_maxAct+dsettings.heart_vntr_TS_maxAct.
40	4	7	1	1.1569340680856823	4200.005	0.001245	0.154774	0.0759769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.heart_vntr_TS_maxAct-dsettings.heart_vntr_TS_maxAct.
41	4	8	1	1.4628624755310535	4200.005	0.001245	0.154774	0.0859769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
42	4	9	1	1.105339355506227	4200.005	0.001245	0.154774	0.0659769	0.3501054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.heart_vntr_TR_maxAct-dsettings.heart_vntr_TR_maxAct.
43	4	10	1	1.1094394531344731	4200.005	0.001245	0.154774	0.0659769	0.3601054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.eta_vc+dsettings.eta_vc.
44	4	11	1	1.1037922693251272	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.eta_vc-dsettings.eta_vc.
45	4	12	1	1.108475224657529	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003328125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.baro_f1-dsettings.baro_f1.
46	4	13	1	1.1118631325566588	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003528125	3.345225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.baro_f1+dsettings.baro_f1.
47	4	14	1	1.074220909336022	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5008013	24.8125	21.84375	-0.04125	Cost reduced     at settings.tissues_eta_Ra+dsettings.tissues_eta_Ra.
48	4	15	1	1.076249849170428	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.10625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.tissues_eta_Rv-dsettings.tissues_eta_Rv.
49	4	16	1	1.0783811028829304	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.30625	0.5008013	24.8125	21.84375	-0.04125	Cost not reduced at settings.tissues_eta_Rv+dsettings.tissues_eta_Rv.
50	4	17	1	1.0688894570601284	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	24.8125	21.84375	-0.04125	Cost reduced     at settings.tissues_eta_C+dsettings.tissues_eta_C.
51	4	18	1	1.1009489189495905	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	25.8125	21.84375	-0.04125	Cost not reduced at settings.tissues_chi_Ra+dsettings.tissues_chi_Ra.
52	4	19	1	1.0448186664655628	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	21.84375	-0.04125	Cost reduced     at settings.tissues_chi_Ra-dsettings.tissues_chi_Ra.
53	4	20	1	1.0474163578288498	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	22.84375	-0.04125	Cost not reduced at settings.tissues_chi_Rv+dsettings.tissues_chi_Rv.
54	4	21	1	1.0428718052868202	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	20.84375	-0.04125	Cost reduced     at settings.tissues_chi_Rv-dsettings.tissues_chi_Rv.
55	4	22	1	1.0384003840689773	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	20.84375	-0.03125	Cost reduced     at settings.tissues_chi_C+dsettings.tissues_chi_C.
55	4	23	1	1.0384003840689773	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	20.84375	-0.03125	Global search reduced cost.
56	5	1	1	1.065620340976416	4400.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Exploration base, Delta = 1.0.
57	5	2	1	1.03043784501741	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost reduced     at settings.heart_vntr_D_A_maxAct-dsettings.heart_vntr_D_A_maxAct.
58	5	3	1	1.0304413875397933	4200.005	0.001225	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_D_0_maxAct-dsettings.heart_vntr_D_0_maxAct.
59	5	4	1	1.0304414528685957	4200.005	0.001265	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
60	5	5	1	1.066395036825272	4200.005	0.001245	0.154774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_TS_maxAct-dsettings.heart_vntr_TS_maxAct.
61	5	6	1	1.2722158621294315	4200.005	0.001245	0.174774	0.0659769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_TS_maxAct+dsettings.heart_vntr_TS_maxAct.
62	5	7	1	1.063510548450476	4200.005	0.001245	0.164774	0.0559769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_TR_maxAct-dsettings.heart_vntr_TR_maxAct.
63	5	8	1	1.2395023688832052	4200.005	0.001245	0.164774	0.0759769	0.3501054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
64	5	9	1	1.0600224779366163	4200.005	0.001245	0.164774	0.0659769	0.3401054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.eta_vc-dsettings.eta_vc.
65	5	10	1	1.0338886080150713	4200.005	0.001245	0.164774	0.0659769	0.3601054	0.003428125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.eta_vc+dsettings.eta_vc.
66	5	11	1	1.0305748459700979	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003328125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.baro_f1-dsettings.baro_f1.
67	5	12	1	1.0343173774038563	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003528125	3.545225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.baro_f1+dsettings.baro_f1.
68	5	13	1	1.0366168078513813	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.645225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.tissues_eta_Ra+dsettings.tissues_eta_Ra.
69	5	14	1	1.058833886284272	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.445225	1.00625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.tissues_eta_Ra-dsettings.tissues_eta_Ra.
70	5	15	1	1.0442890524402415	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	0.90625	0.5408013	23.8125	21.84375	-0.00125	Cost not reduced at settings.tissues_eta_Rv-dsettings.tissues_eta_Rv.
71	5	16	1	1.0242315057670228	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	23.8125	21.84375	-0.00125	Cost reduced     at settings.tissues_eta_Rv+dsettings.tissues_eta_Rv.
72	5	17	1	1.0518500647072586	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5508013	23.8125	21.84375	-0.00125	Cost not reduced at settings.tissues_eta_C+dsettings.tissues_eta_C.
73	5	18	1	1.0281393087146453	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5308013	23.8125	21.84375	-0.00125	Cost not reduced at settings.tissues_eta_C-dsettings.tissues_eta_C.
74	5	19	1	0.9998163565212195	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	22.8125	21.84375	-0.00125	Cost reduced     at settings.tissues_chi_Ra-dsettings.tissues_chi_Ra.
75	5	20	1	0.9987795363274072	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	22.8125	20.84375	-0.00125	Cost reduced     at settings.tissues_chi_Rv-dsettings.tissues_chi_Rv.
76	5	21	1	0.9949167124548188	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	22.8125	20.84375	0.00875	Cost reduced     at settings.tissues_chi_C+dsettings.tissues_chi_C.
76	5	22	1	0.9949167124548188	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	22.8125	20.84375	0.00875	Global search reduced cost.
77	6	1	1	1.1699896808163772	4200.005	0.001245	0.174774	0.0659769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Exploration base, Delta = 1.0.
78	6	2	1	1.1635205827873374	4000.005	0.001245	0.174774	0.0659769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.heart_vntr_D_A_maxAct-dsettings.heart_vntr_D_A_maxAct.
79	6	3	1	1.1635218954045354	4000.005	0.001225	0.174774	0.0659769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost not reduced at settings.heart_vntr_D_0_maxAct-dsettings.heart_vntr_D_0_maxAct.
80	6	4	1	1.1635159554137184	4000.005	0.001265	0.174774	0.0659769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
81	6	5	1	1.0125805238069805	4000.005	0.001265	0.164774	0.0659769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.heart_vntr_TS_maxAct-dsettings.heart_vntr_TS_maxAct.
82	6	6	1	1.0983505176737824	4000.005	0.001265	0.164774	0.0559769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost not reduced at settings.heart_vntr_TR_maxAct-dsettings.heart_vntr_TR_maxAct.
83	6	7	1	1.1016090746001468	4000.005	0.001265	0.164774	0.0759769	0.3601054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost not reduced at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
84	6	8	1	0.9974242250182581	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003428125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.eta_vc-dsettings.eta_vc.
85	6	9	1	0.9660999446314328	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.645225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.baro_f1-dsettings.baro_f1.
86	6	10	1	0.9543981934418928	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.00625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.tissues_eta_Ra+dsettings.tissues_eta_Ra.
87	6	11	1	0.9407425415122186	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	21.8125	20.84375	0.04875	Cost reduced     at settings.tissues_eta_Rv+dsettings.tissues_eta_Rv.
88	6	12	1	0.9416236612959934	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5808013	21.8125	20.84375	0.04875	Cost not reduced at settings.tissues_eta_C+dsettings.tissues_eta_C.
89	6	13	1	0.945310798789975	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5608013	21.8125	20.84375	0.04875	Cost not reduced at settings.tissues_eta_C-dsettings.tissues_eta_C.
90	6	14	1	0.9388059094765515	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	20.84375	0.04875	Cost reduced     at settings.tissues_chi_Ra-dsettings.tissues_chi_Ra.
91	6	15	1	0.9391665634448987	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	19.84375	0.04875	Cost not reduced at settings.tissues_chi_Rv-dsettings.tissues_chi_Rv.
92	6	16	1	0.9402899559099699	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	21.84375	0.04875	Cost not reduced at settings.tissues_chi_Rv+dsettings.tissues_chi_Rv.
93	6	17	1	0.9425302006659638	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	20.84375	0.05875	Cost not reduced at settings.tissues_chi_C+dsettings.tissues_chi_C.
94	6	18	1	0.9369831650500654	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	20.84375	0.03875	Cost reduced     at settings.tissues_chi_C-dsettings.tissues_chi_C.
94	6	19	1	0.9369831650500654	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	20.84375	0.03875	Global search reduced cost.
95	7	1	1	0.9184546614991593	3800.005	0.001285	0.164774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Exploration base, Delta = 1.0.
96	7	2	1	0.8910367328322218	3600.005	0.001285	0.164774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost reduced     at settings.heart_vntr_D_A_maxAct-dsettings.heart_vntr_D_A_maxAct.
97	7	3	1	0.8910372786506371	3600.005	0.001305	0.164774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost not reduced at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
98	7	4	1	0.891036437237372	3600.005	0.001265	0.164774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost reduced     at settings.heart_vntr_D_0_maxAct-dsettings.heart_vntr_D_0_maxAct.
99	7	5	1	1.0193413026844171	3600.005	0.001265	0.154774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost not reduced at settings.heart_vntr_TS_maxAct-dsettings.heart_vntr_TS_maxAct.
100	7	6	1	0.9942868011515233	3600.005	0.001265	0.174774	0.0659769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost not reduced at settings.heart_vntr_TS_maxAct+dsettings.heart_vntr_TS_maxAct.
101	7	7	1	1.0143645296536783	3600.005	0.001265	0.164774	0.0559769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost not reduced at settings.heart_vntr_TR_maxAct-dsettings.heart_vntr_TR_maxAct.
102	7	8	1	0.9757981616443976	3600.005	0.001265	0.164774	0.0759769	0.3501054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost not reduced at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
103	7	9	1	0.8847407767576672	3600.005	0.001265	0.164774	0.0659769	0.3401054	0.003228125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost reduced     at settings.eta_vc-dsettings.eta_vc.
104	7	10	1	0.8836726915055368	3600.005	0.001265	0.164774	0.0659769	0.3401054	0.003128125	3.945225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost reduced     at settings.baro_f1-dsettings.baro_f1.
105	7	11	1	0.8685448179339453	3600.005	0.001265	0.164774	0.0659769	0.3401054	0.003128125	3.845225	1.10625	0.6008013	18.8125	20.84375	0.06875	Cost reduced     at settings.tissues_eta_Ra-dsettings.tissues_eta_Ra.
